t I O O_a
873 0.980889999999999 0.9955 0.980971690856428
874 0.980889999999999 0.9955 0.980971878946343
875 0.980889999999999 0.9955 0.980972151565004
876 0.980889999999999 0.9955 0.980972511009741
877 0.980889999999999 0.9955 0.980972959233001
878 0.980889999999999 0.9955 0.980973497842352
879 0.980889999999999 0.995497437357631 0.98097412810048
880 0.980889999999999 0.99775 0.98097485092519
881 0.980889999999999 0.99775 0.980975666889404
882 0.980889999999999 0.99775 0.980976576221167
883 0.980889999999999 0.997752551020408 0.980977578803639
884 0.980889999999999 0.9955 0.9809786741751
885 0.980889999999999 0.995497454751131 0.98097986152895
886 0.980889999999999 0.99775 0.980981139713705
887 0.980889999999999 0.997752539503386 0.980982507233003
888 0.980889999999999 0.9955 0.980983871512543
889 0.980889999999999 0.9955 0.980984471590797
890 0.980889999999999 0.9955 0.980985030570104
891 0.980889999999999 0.995494943820225 0.980985538377337
892 0.980889999999999 1 0.980985984426114
893 0.98089 1.00000252242152 0.980986357616805
894 0.98089 0.99775 0.980986646336524
895 0.98089 0.99775 0.980986838459136
896 0.98089 0.99775 0.980986921345253
897 0.98089 0.99775 0.980986881842234
898 0.98089 0.99775 0.980986706284187
899 0.98089 0.998861080178174 0.980986380491968
900 0.98089 0.99775 0.980985889773182
901 0.98089 0.99775 0.980985218922179
902 0.98089 0.99775 0.98098435222006
903 0.98089 0.99775 0.980983273434672
904 0.98089 0.99775 0.980981965820612
905 0.98089 0.99775 0.980980412119222
906 0.98089 0.99775 0.980978594558596
907 0.98089 0.99775 0.980976494853572
908 0.98089 0.99775 0.980974094205739
909 0.98089 0.99775 0.980971373303431
910 0.98089 0.99775 0.980968312321734
911 0.98089 0.99775 0.980964890922479
912 0.98089 0.99775 0.980961088254246
913 0.98089 0.99775 0.980956882952362
914 0.98089 0.99775 0.980952253138903
915 0.98089 0.99775 0.980947176422693
916 0.98089 0.99775 0.980944786719804
917 0.98089 0.99775 0.980943825198368
918 0.98089 0.99775 0.980942849821015
919 0.98089 0.99775 0.980941860520225
920 0.98089 0.99775 0.980940857228479
921 0.98089 0.99775 0.980939839878259
922 0.98089 0.99775 0.980938808402045
923 0.98089 0.99775 0.980937762732317
924 0.98089 0.99775 0.980936702801558
925 0.98089 0.99775 0.980935628542248
926 0.98089 0.99775 0.980934539886868
927 0.98089 0.99775 0.980933436767898
928 0.98089 0.99775 0.980932319117821
929 0.98089 0.99775 0.980931186869116
930 0.98089 0.99775 0.980930039954264
931 0.98089 0.99775 0.980928878305747
932 0.98089 0.99775 0.980927701856046
933 0.98089 0.99775 0.980926510537641
934 0.98089 0.99775 0.980925304283013
935 0.98089 0.99775 0.980924083024644
936 0.98089 0.99775 0.980922846695014
937 0.98089 0.99775 0.980921595226603
938 0.98089 0.99775 0.980920328551894
939 0.98089 0.99775 0.980919046603367
940 0.98089 0.99775 0.980917749313503
941 0.98089 0.99775 0.980916436614782
942 0.98089 0.99775 0.980915108439687
943 0.98089 0.99775 0.980913764720697
