T,I,O
425,0.975839,0.014335
426,0.976041,0.01531
427,0.976235,0.015535
428,0.976421,0.01576
429,0.976599,0.017564999999999997
430,0.976771,0.01937
431,0.976936,0.020345
432,0.977094,0.02132
433,0.977246,0.02237
434,0.977391,0.02342
435,0.977531,0.024695
436,0.977666,0.02597
437,0.977795,0.02672
438,0.977919,0.02747
439,0.978038,0.02875
440,0.978152,0.03003
441,0.978261,0.03153
442,0.978367,0.03303
443,0.978468,0.034305
444,0.978565,0.03558
445,0.978658,0.037455
446,0.978747,0.03933
447,0.978833,0.040834999999999996
448,0.978916,0.04234
449,0.978995,0.044215000000000004
450,0.979071,0.04609
451,0.979143,0.04789
452,0.979213,0.04969
453,0.979281,0.051795
454,0.979345,0.0539
455,0.979407,0.056075
456,0.979467,0.05825
457,0.979524,0.06035
458,0.979578,0.06245
459,0.979631,0.06493
460,0.979681,0.06741
461,0.97973,0.07011
462,0.979776,0.07281
463,0.979821,0.07529
464,0.979864,0.07777
465,0.979905,0.08047
466,0.979945,0.08317
467,0.979983,0.08602499999999999
468,0.980019,0.08888
469,0.980054,0.09113
470,0.980087,0.09338
471,0.98012,0.09676000000000001
472,0.980151,0.10014
473,0.98018,0.10329
474,0.980209,0.10644
475,0.980236,0.109895
476,0.980262,0.11335
477,0.980287,0.116875
478,0.980312,0.1204
479,0.980335,0.12392999999999998
480,0.980357,0.12746
481,0.980378,0.13076
482,0.980399,0.13406
483,0.980419,0.138565
484,0.980438,0.14307
485,0.980456,0.14585
486,0.980473,0.14863
487,0.98049,0.152605
488,0.980506,0.15658
489,0.980521,0.160335
490,0.980536,0.16409
491,0.98055,0.16784500000000002
492,0.980564,0.1716
493,0.980577,0.1761
494,0.98059,0.1806
495,0.980602,0.184805
496,0.980613,0.18901
497,0.980624,0.193965
498,0.980635,0.19892
499,0.980645,0.203575
500,0.980655,0.20823
501,0.980665,0.21228
502,0.980674,0.21633
503,0.980682,0.22181
504,0.980691,0.22729
505,0.980699,0.231495
506,0.980706,0.2357
507,0.980714,0.24028
508,0.980721,0.24486
509,0.980728,0.249515
510,0.980734,0.25417
511,0.98074,0.25927
512,0.980746,0.26437
513,0.980752,0.2688
514,0.980758,0.27323
515,0.980763,0.27810999999999997
516,0.980768,0.28299
517,0.980773,0.28787
518,0.980778,0.29275
519,0.980782,0.298155
520,0.980786,0.30356
521,0.980791,0.30949
522,0.980795,0.31542
523,0.980798,0.320975
524,0.980802,0.32653
525,0.980806,0.33141
526,0.980809,0.33629
527,0.980812,0.34124
528,0.980815,0.34619
529,0.980818,0.35167000000000004
530,0.980821,0.35715
531,0.980824,0.36263
532,0.980827,0.36811
533,0.980829,0.37419
534,0.980832,0.38027
535,0.980834,0.3847
536,0.980836,0.38913
537,0.980838,0.39491
538,0.98084,0.40069
539,0.980842,0.40617000000000003
540,0.980844,0.41165
541,0.980846,0.41863
542,0.980848,0.42561
543,0.98085,0.431315
544,0.980851,0.43702
545,0.980853,0.442275
546,0.980854,0.44753
547,0.980856,0.45391
548,0.980857,0.46029
549,0.980858,0.46682
550,0.98086,0.47335
551,0.980861,0.47943
552,0.980862,0.48551
553,0.980863,0.49174
554,0.980864,0.49797
555,0.980865,0.502175
556,0.980866,0.50638
557,0.980867,0.51231
558,0.980868,0.51824
559,0.980869,0.5242450000000001
560,0.98087,0.53025
561,0.980871,0.53693
562,0.980871,0.54361
563,0.980872,0.54984
564,0.980873,0.55607
565,0.980874,0.56125
566,0.980874,0.56643
567,0.980875,0.5722849999999999
568,0.980876,0.57814
569,0.980876,0.5847450000000001
570,0.980877,0.59135
571,0.980877,0.59743
572,0.980878,0.60351
573,0.980878,0.60974
574,0.980879,0.61597
575,0.980879,0.6204000000000001
576,0.98088,0.62483
577,0.98088,0.631885
578,0.98088,0.63894
579,0.980881,0.6429199999999999
580,0.980881,0.6469
581,0.980881,0.65283
582,0.980882,0.65876
583,0.980882,0.664915
584,0.980882,0.67107
585,0.980883,0.675875
586,0.980883,0.68068
587,0.980883,0.68556
588,0.980884,0.69044
589,0.980884,0.694715
590,0.980884,0.69899
591,0.980884,0.70545
592,0.980885,0.71191
593,0.980885,0.7163349999999999
594,0.980885,0.72076
595,0.980885,0.7266900000000001
596,0.980885,0.73262
597,0.980886,0.7379500000000001
598,0.980886,0.74328
599,0.980886,0.74711
600,0.980886,0.75094
601,0.980886,0.75484
602,0.980886,0.75874
603,0.980887,0.763395
604,0.980887,0.76805
605,0.980887,0.772105
606,0.980887,0.77616
607,0.980887,0.7801400000000001
608,0.980887,0.78412
609,0.980887,0.7882450000000001
610,0.980887,0.79237
611,0.980888,0.7948500000000001
612,0.980888,0.79733
613,0.980888,0.80153
614,0.980888,0.80573
615,0.980888,0.809935
616,0.980888,0.81414
617,0.980888,0.8184199999999999
618,0.980888,0.8227
619,0.980888,0.826155
620,0.980888,0.82961
621,0.980888,0.833135
622,0.980888,0.83666
623,0.980888,0.84019
624,0.980889,0.84372
625,0.980889,0.84642
626,0.980889,0.84912
627,0.980889,0.851825
628,0.980889,0.85453
629,0.980889,0.85633
630,0.980889,0.85813
631,0.980889,0.86271
632,0.980889,0.86729
633,0.980889,0.869165
634,0.980889,0.87104
635,0.980889,0.87382
636,0.980889,0.8766
637,0.980889,0.878475
638,0.980889,0.88035
639,0.980889,0.8841749999999999
640,0.980889,0.888
641,0.980889,0.88988
642,0.980889,0.89176
643,0.980889,0.89371
644,0.980889,0.89566
645,0.980889,0.898515
646,0.980889,0.90137
647,0.980889,0.90332
648,0.980889,0.90527
649,0.980889,0.907295
650,0.980889,0.90932
651,0.98089,0.9112750000000001
652,0.98089,0.91323
653,0.98089,0.91518
654,0.98089,0.91713
655,0.98089,0.9191549999999999
656,0.98089,0.92118
657,0.98089,0.9221550000000001
658,0.98089,0.92313
659,0.98089,0.92516
660,0.98089,0.92719
661,0.98089,0.9292149999999999
662,0.98089,0.93124
663,0.98089,0.93229
664,0.98089,0.93334
665,0.98089,0.934395
666,0.98089,0.93545
667,0.98089,0.938525
668,0.98089,0.9416
669,0.98089,0.9416
670,0.98089,0.9416
671,0.98089,0.9436249999999999
672,0.98089,0.94565
673,0.98089,0.94565
674,0.98089,0.94565
675,0.98089,0.946705
676,0.98089,0.94776
677,0.98089,0.94986
678,0.98089,0.95196
679,0.98089,0.95196
680,0.98089,0.95196
681,0.98089,0.95301
682,0.98089,0.95406
683,0.98089,0.95511
684,0.98089,0.95616
685,0.98089,0.95721
686,0.98089,0.95826
687,0.98089,0.95939
688,0.98089,0.96052
689,0.98089,0.96157
690,0.98089,0.96262
691,0.98089,0.96262
692,0.98089,0.96262
693,0.98089,0.96367
694,0.98089,0.96472
695,0.98089,0.96577
696,0.98089,0.96682
697,0.98089,0.96577
698,0.98089,0.96472
699,0.98089,0.96472
700,0.98089,0.96472
701,0.98089,0.96577
702,0.98089,0.96682
703,0.98089,0.967945
704,0.98089,0.96907
705,0.98089,0.970125
706,0.98089,0.97118
707,0.98089,0.97118
708,0.98089,0.97118
709,0.98089,0.97118
710,0.98089,0.97118
711,0.98089,0.97118
712,0.98089,0.97118
713,0.98089,0.970125
714,0.98089,0.96907
715,0.98089,0.970125
716,0.98089,0.97118
717,0.98089,0.97118
718,0.98089,0.97118
719,0.98089,0.97118
720,0.98089,0.97118
721,0.98089,0.97118
722,0.98089,0.97118
723,0.98089,0.97118
724,0.98089,0.97118
725,0.98089,0.97118
726,0.98089,0.97118
727,0.98089,0.97118
728,0.98089,0.97118
729,0.98089,0.972305
730,0.98089,0.97343
731,0.98089,0.97343
732,0.98089,0.97343
733,0.98089,0.97448
734,0.98089,0.97553
735,0.98089,0.97553
736,0.98089,0.97553
737,0.98089,0.977705
738,0.98089,0.97988
739,0.98089,0.97988
740,0.98089,0.97988
741,0.98089,0.97988
742,0.98089,0.97988
743,0.98089,0.9810049999999999
744,0.98089,0.98213
745,0.98089,0.98213
746,0.98089,0.98213
747,0.98089,0.98326
748,0.98089,0.98439
749,0.98089,0.98544
750,0.98089,0.98649
751,0.98089,0.98649
752,0.98089,0.98649
753,0.98089,0.98649
754,0.98089,0.98649
755,0.98089,0.98649
756,0.98089,0.98649
757,0.98089,0.98649
758,0.98089,0.98649
759,0.98089,0.98649
760,0.98089,0.98649
761,0.98089,0.98649
762,0.98089,0.98649
763,0.98089,0.98649
764,0.98089,0.98649
765,0.98089,0.9876149999999999
766,0.98089,0.98874
767,0.98089,0.989865
768,0.98089,0.99099
769,0.98089,0.989865
770,0.98089,0.98874
771,0.98089,0.989865
772,0.98089,0.99099
773,0.98089,0.989865
774,0.98089,0.98874
775,0.98089,0.989865
776,0.98089,0.99099
777,0.98089,0.99099
778,0.98089,0.99099
779,0.98089,0.99099
780,0.98089,0.99099
781,0.98089,0.99099
782,0.98089,0.99099
783,0.98089,0.99099
784,0.98089,0.99099
785,0.98089,0.99099
786,0.98089,0.99099
787,0.98089,0.99099
788,0.98089,0.99099
789,0.98089,0.9921150000000001
790,0.98089,0.99324
791,0.98089,0.9921150000000001
792,0.98089,0.99099
793,0.98089,0.9921150000000001
794,0.98089,0.99324
795,0.98089,0.99324
796,0.98089,0.99324
797,0.98089,0.9921150000000001
798,0.98089,0.99099
799,0.98089,0.9921150000000001
800,0.98089,0.99324
801,0.98089,0.99324
802,0.98089,0.99324
803,0.98089,0.99324
804,0.98089,0.99324
805,0.98089,0.9921150000000001
806,0.98089,0.99099
807,0.98089,0.9921150000000001
808,0.98089,0.99324
809,0.98089,0.99324
810,0.98089,0.99324
811,0.98089,0.9921150000000001
812,0.98089,0.99099
813,0.98089,0.9921150000000001
814,0.98089,0.99324
815,0.98089,0.99437
816,0.98089,0.9955
